47152,46133
47152,45058
47152,46747
47165,47994
47165,47137
47165,46753
47165,44970
48013,47124
48013,47163
48013,46132
46743,46784
46743,47629
46746,46796
46746,44949
46746,44921
46744,48391
46744,46147
46744,46756
46744,46364
46753,46167
46790,44945
46790,46779
46790,44932
46794,46146
46794,46150
46794,44930
46749,48396
46749,47977
46749,44949
46747,48009
46747,46755
46793,47600
46793,46779
46793,44915
46741,44941
46741,47163
46741,46120
46781,46122
46752,48386
46752,46780
46752,46159
46789,48368
46789,47576
46789,46169
46791,47175
47778,48439
47778,46727
47778,47837
47778,48483
47754,45755
47754,44762
47753,46727
47753,48485
47753,44736
47734,47743
47734,45771
47767,45751
47767,47803
47745,46545
47745,47818
47780,47793
47780,48130
47780,45738
47780,44741
47746,44772
47746,47743
47746,47841
47777,47756
47777,48449
47777,45760
47731,47722
47731,47798
47776,45367
47776,46550
47868,44740
47868,46723
47761,45753
47761,44714
47761,46685
47761,44737
47756,44752
47756,45760
47781,44735
47781,46681
47781,45369
47740,44718
47740,45742
47740,47800
47757,44717
47757,45731
47757,47804
47757,48453
47375,45578
47375,46342
47377,48686
47377,45678
47405,45673
47405,45181
47362,45676
47371,45696
47371,45668
47373,47372
47373,45665
47388,45674
47366,45581
47366,45675
47390,45669
47357,45582
47368,45560
47352,45197
47352,45673
47367,45689
47367,45589
47367,47372
47376,45576
47376,45682
47374,45235
47374,45679
47363,45192
45185,45676
45185,45683
45181,45686
45197,45686
45194,45696
45189,46326
45192,45678
45186,48360
48276,45674
45196,45588
45178,45582
45178,48687
45191,45675
48368,46338
48377,44917
48377,48356
48377,47997
48378,48362
48378,44922
48378,47560
48378,48404
48380,48277
48380,48395
48366,44927
48381,48388
48381,48354
48381,48405
48382,48356
48382,48355
48375,46384
48375,47571
48373,44914
48367,48361
48379,47572
48379,48354
48379,48404
48370,44925
48370,48394
48370,48393
48369,48392
48369,48386
48385,44932
48385,47558
48385,46779
48374,48408
48374,46356
48371,48396
48371,44921
48112,48482
48112,44719
46572,45781
46572,48435
46572,48135
46572,48454
46545,48442
46556,44718
46538,48443
46538,45388
46542,48450
46542,48449
46537,45373
46549,48445
46549,44721
46535,48444
46535,45388
46535,47722
48135,48453
48135,47736
48130,45375
48130,47742
46534,46532
46534,45370
46550,45786
46532,44735
46532,48441
46583,48428
46583,45787
46546,44753
46546,45772
46546,48428
48400,48395
48400,47559
48406,44933
48406,46758
48401,48358
48390,48359
48398,47566
48391,48392
48391,44927
48404,44922
48397,47143
48408,46740
48408,46119
48399,46169
48394,44925
48357,47564
48353,46333
48353,47572
48355,48387
47566,46338
48354,46354
48362,47587
47576,46384
48356,44930
47600,46142
47550,47565
47550,46340
47601,44921
47601,47579
45373,45415
48435,48453
45370,44726
45369,44724
45362,48458
45419,48428
45419,45404
45377,44719
45375,48452
45367,45406
45367,44723
45366,48436
45374,48455
45379,45780
45408,48442
47804,46129
47804,46685
47805,46130
47800,47763
47800,44725
47798,47831
47799,45745
47799,45735
46690,48441
47793,47992
47793,48452
47796,45740
47840,47884
47792,45750
47837,48439
47837,48483
47795,47860
47811,46723
45406,44723
48019,45083
48019,44930
47179,48009
47179,46133
47997,46119
47997,44917
46784,46154
46784,47137
46784,46167
46792,47143
46792,45057
46792,44959
46780,46173
46782,47977
46782,46130
46796,44968
47629,46788
47629,46154
46364,44954
46364,46174
46779,46142
46785,44949
46785,46118
46785,47881
47163,47124
47994,46120
47994,44970
46163,47144
46163,47148
46123,45061
46123,48411
